title,category,date,download_url,download_title
GONZALEZ J. Q3 2017 FOMB Periodic Financial Report Final Signed,Document,2017-12-22 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a3d63e01cbda.pdf,GONZALEZ J. Q3 2017 FOMB Periodic Financial Report Final Signed.pdf
FOMB - Letter to Governor and Legislative Leadership - Budget Process Revised Schedule,Document,2017-12-22 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a3d4341165f8.pdf,FOMB - Letter to Governor and Legislative Leadership - Budget Process Revised Schedule.pdf
General Release Regarding the Publication of the Periodic Transaction Reports for Q3 2017,General Release,2017-12-22 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a3d3db653671.pdf,General Release Regarding the Publication of the Periodic Transaction Reports for Q3 2017.pdf
ZAMOT N. Q3 2017 FOMB Periodic Transaction Report Final Signed,Document,2017-12-22 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a3d3b8d59b6d.pdf,ZAMOT N. Q3 2017 FOMB Periodic Transaction Report Final Signed.pdf
SOBRINO C. Q3 2017 FOMB Periodic Transaction Report Final Signed,Document,2017-12-22 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a3d3b81224ff.pdf,SOBRINO C. Q3 2017 FOMB Periodic Transaction Report Final Signed.pdf
SKEEL D. Q3 2017 FOMB Periodic Transaction Report Final Signed,Document,2017-12-22 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a3d3b78bdee2.pdf,SKEEL D. Q3 2017 FOMB Periodic Transaction Report Final Signed.pdf
MATOSANTOS A. Q3 2017 FOMB Periodic Transaction Report Final Signed,Document,2017-12-22 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a3d3b7462366.pdf,MATOSANTOS A. Q3 2017 FOMB Periodic Transaction Report Final Signed.pdf
JARESKO N. Q3 2017 FOMB Periodic Transaction Report Final Signed,Document,2017-12-22 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a3d3b6b2a7fd.pdf,JARESKO N. Q3 2017 FOMB Periodic Transaction Report Final Signed.pdf
GONZALEZ A. Q3 2017 FOMB Periodic Transaction Report Final Signed,Document,2017-12-22 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a3d3b61dabb9.pdf,GONZALEZ A. Q3 2017 FOMB Periodic Transaction Report Final Signed.pdf
GARCIA C. Amended Initial Financial Disclosure 2016 as of 12.6.17 Final Signed,Document,2017-12-22 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a3d3b5e617e0.pdf,GARCIA C. Amended Initial Financial Disclosure 2016 as of 12.6.17 Final Signed.pdf
GARCIA C. Q3 2017 FOMB Periodic Transaction Report Final Signed,Document,2017-12-22 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a3d3b58483c1.pdf,GARCIA C. Q3 2017 FOMB Periodic Transaction Report Final Signed.pdf
EL KOURY J. Q3 2017 FOMB Periodic Transaction Report Final Signed,Document,2017-12-22 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a3d3b4884816.pdf,EL KOURY J. Q3 2017 FOMB Periodic Transaction Report Final Signed.pdf
CARRION J. Q3 2017 FOMB Periodic Transaction Report Final Signed,Document,2017-12-22 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a3d3b38bd79b.pdf,CARRION J. Q3 2017 FOMB Periodic Transaction Report Final Signed.pdf
BIGGS A. Q3 2017 FOMB Periodic Transaction Report Final Signed,Document,2017-12-22 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a3d3b35a107c.pdf,BIGGS A. Q3 2017 FOMB Periodic Transaction Report Final Signed.pdf
FOMB - Letter to Governor - Fiscal Plan Extension - 20 Dec 2017 PL,Document,2017-12-20 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a3aec980bdd7.pdf,FOMB - Letter to Governor - Fiscal Plan Extension - 20 Dec 2017 PL.pdf
General Release Regarding the Request for Proposals for an Independent Forensic Analysis of Liquidity of the Government of Puerto Rico,General Release,2017-12-19 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a3972237c661.pdf,General Release Regarding the Request for Proposals for an Independent Forensic Analysis of Liquidity of the Government of Puerto Rico.pdf
Request for Proposals - Independent Forensic Analysis for Liquidity,Document,2017-12-19 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a397094175e6.pdf,Request for Proposals - Independent Forensic Analysis for Liquidity.pdf
General Release Regarding an Independent Forensic Investigation Into Recently-Published Government Bank Accounts,General Release,2017-12-18 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a37cc2b09131.pdf,General Release Regarding an Independent Forensic Investigation Into Recently-Published Government Bank Accounts.pdf
"FOMB - Minutes - Eleventh Public Board Meeting - December 15, 2017",Document,2017-12-13 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a31aca8eee57.pdf,"FOMB - Minutes - Eleventh Public Board Meeting - December 15, 2017.pdf"
"FOMB - Minutes - Tenth Public Board Meeting - October, 31 2017",Document,2017-12-13 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a31ac90d49b1.pdf,"FOMB - Minutes - Tenth Public Board Meeting - October, 31 2017.pdf"
FOMB - Letter to Governor and Legislative Leadership re Budget Process,Document,2017-12-13 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a315ece119c1.pdf,FOMB - Letter to Governor and Legislative Leadership re Budget Process.pdf
FOMB - Letter to Governor re PREPA Transformation Plan,Document,2017-12-13 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a315ece7eeb2.pdf,FOMB - Letter to Governor re PREPA Transformation Plan.pdf
"FOMB - Minutes - Ninth Public Board Meeting - August 4, 2017",Document,2017-12-08 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a2afcca1675f.pdf,"FOMB - Minutes - Ninth Public Board Meeting - August 4, 2017.pdf"
"FOMB - Minutes - Eighth Public Board Meeting - June 30, 2017",Document,2017-12-08 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a2afcc9b62a9.pdf,"FOMB - Minutes - Eighth Public Board Meeting - June 30, 2017.pdf"
FOMB - Code of Conduct,Document,2017-12-07 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a29966f965d5.pdf,FOMB - Code of Conduct.pdf
General Release Regarding the Filing of a Memorandum of Law in Support of PROMESA,General Release,2017-12-06 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a28899bd4c14.pdf,General Release Regarding the Filing of a Memorandum of Law in Support of PROMESA.pdf
United States' Memorandum of Law in Support of the Constitutionality of PROMESA,Document,2017-12-06 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a2887f1f3274.pdf,United States' Memorandum of Law in Support of the Constitutionality of PROMESA.pdf
Structural Reforms in the Revised FPs,Document,2017-12-05 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a26e5016164a.pdf,Structural Reforms in the Revised FPs.pdf
FY19 Budgeting Process,Document,2017-12-05 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a26e4fd87a81.pdf,FY19 Budgeting Process.pdf
Liquidity Presentation During the 11th Board Public Meeting,Document,2017-12-05 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a26e4fd1fef6.pdf,Liquidity Presentation During the 11th Board Public Meeting.pdf
Testimony from Public Safety Secretary Héctor Pesquera During the 11th Board Public Meeting,Document,2017-12-05 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a26e426088cc.pdf,Testimony from Public Safety Secretary Héctor Pesquera During the 11th Board Public Meeting.pdf
Letter from the Treasury Secretary Raúl Maldonado Sent During the 11th Board Public Meeting,Document,2017-12-05 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a26e4254009d.pdf,Letter from the Treasury Secretary Raúl Maldonado Sent During the 11th Board Public Meeting.pdf
Listening Sessions Recap,Document,2017-12-05 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a2806ffea6b6.pdf,Listening Sessions Recap.pdf
"11th Public Board Meeting Agenda (December 5, 2017)",Document,2017-12-04 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a25a8288f428.pdf,"11th Public Board Meeting Agenda (December 5, 2017).pdf"
Panelists' Presentations During the Third Board Listening Session for the Revision of the Fiscal Plan,Document,2017-12-04 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a26e0e043c2e.pdf,Panelists' Presentations During the Third Board Listening Session for the Revision of the Fiscal Plan.pdf
"Agenda for the FOMB Third Listening Session (New York - December 4, 2017)",Document,2017-12-03 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a242e5d62245.pdf,"Agenda for the FOMB Third Listening Session (New York - December 4, 2017).pdf"
Panelists' Presentations During the Second Board Listening Session for the Revision of the Fiscal Plan,Document,2017-12-01 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a214536b2185.pdf,Panelists' Presentations During the Second Board Listening Session for the Revision of the Fiscal Plan.pdf
Letter to Governor Rosselló with Board Response to Early Issuance of Christmas Bonus,Document,2017-11-28 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a1dc95dcf714.pdf,Letter to Governor Rosselló with Board Response to Early Issuance of Christmas Bonus.pdf
General Release Regarding Decision to Not Appeal Determination by the Court on the Designation of Noel Zamot as PREPA's Chief Transformation Officer,General Release,2017-11-28 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a1db13cab914.pdf,General Release Regarding Decision to Not Appeal Determination by the Court on the Designation of Noel Zamot as PREPA's Chief Transformation Officer.pdf
General Release Regarding the Second Listening Session for the Revisions to the Fiscal Plan,General Release,2017-11-27 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a1c5a71ed567.pdf,General Release Regarding the Second Listening Session for the Revisions to the Fiscal Plan.pdf
General Release Regarding the Request for Proposals for the Selection of a Permitting Firm,General Release,2017-11-21 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a14432da4548.pdf,General Release Regarding the Request for Proposals for the Selection of a Permitting Firm.pdf
Request for Proposals for a Local Permitting Firm,Document,2017-11-20 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a138631d99e5.pdf,Request for Proposals for a Local Permitting Firm.pdf
Panelists' Presentations During the First Board Listening Session for the Revision of the Fiscal Plan,Document,2017-11-17 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a0f61dbf159a.pdf,Panelists' Presentations During the First Board Listening Session for the Revision of the Fiscal Plan.pdf
FOMB Senior Staff Compensation Table,Document,2017-11-10 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a05fa3f5b067.pdf,FOMB Senior Staff Compensation Table.pdf
FOMB Letter to Reps Velazquez and Serrano - 08 Nov 2017,Document,2017-11-10 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a05fa1266e5b.pdf,FOMB Letter to Reps Velazquez and Serrano - 08 Nov 2017.pdf
General Release Regarding N. Jaresko and N. Zamot's Testimonies to the House of Representatives Committee on Natural Resources,General Release,2017-11-07 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/5a01f51668ead.pdf,General Release Regarding N. Jaresko and N. Zamot's Testimonies to the House of Representatives Committee on Natural Resources.pdf
"Noel Zamot's Testimony to the House of Representatives on Natural Resources Committee (November 7, 2017)",Document,2017-11-07 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a01f1c516b41.pdf,"Noel Zamot's Testimony to the House of Representatives on Natural Resources Committee (November 7, 2017).pdf"
"Natalie Jaresko's Testimony to the House of Representatives on Natural Resources Committee (November 7, 2017)",Document,2017-11-07 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a01f1bf35f8f.pdf,"Natalie Jaresko's Testimony to the House of Representatives on Natural Resources Committee (November 7, 2017).pdf"
Remarks FOMB Chairman Jose Carrion AEI Conference on PR 11.06.017,Document,2017-11-07 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a01eed1d04ee.pdf,Remarks FOMB Chairman Jose Carrion AEI Conference on PR 11.06.017.pdf
FOMB Contract Review Policy,Document,2017-11-06 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/5a007c2fefa90.pdf,FOMB Contract Review Policy.pdf
"FOMB Basic Financial Statements and Required Supplementary Information as of June 30th, 2017 and for the Period from August 31, 2016 (Commencement of Operations) to June 30, 2017",Document,2017-10-31 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59f8a1691f820.pdf,"FOMB Basic Financial Statements and Required Supplementary Information as of June 30th, 2017 and for the Period from August 31, 2016 (Commencement of Operations) to June 30, 2017.pdf"
General Release Regarding the Results of the Tenth Public Meeting,General Release,2017-10-31 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59f89d677482f.pdf,General Release Regarding the Results of the Tenth Public Meeting.pdf
Fiscal Plan Revision Process,Document,2017-10-31 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59f892e3ce7f4.pdf,Fiscal Plan Revision Process.pdf
"Liquidity Update to the FOMB by the Puerto Rico FAFAA (October 31, 2017)",Document,2017-10-31 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59f882282f987.pdf,"Liquidity Update to the FOMB by the Puerto Rico FAFAA (October 31, 2017).pdf"
Independent Investigator's First Interim Report,Document,2017-10-30 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59f751d7658d2.pdf,Independent Investigator's First Interim Report.pdf
"Oversight Board's Tenth Public Meeting Agenda (October 31, 2017)",Document,2017-10-30 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59f74b87139c0.pdf,"Oversight Board's Tenth Public Meeting Agenda (October 31, 2017).pdf"
General Release Regarding the Board's Tenth Public Meeting,General Release,2017-10-27 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59f37e617e071.pdf,General Release Regarding the Board's Tenth Public Meeting.pdf
General Release Regarding the Appointment of the PREPA Chief Transformation Officer,General Release,2017-10-25 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59f0ef2e08cd9.pdf,General Release Regarding the Appointment of the PREPA Chief Transformation Officer.pdf
Resolution Adopted by the Special Investigation Committee Initiating Formal Investigation for the Purpose of Issuing Investigative Subpoenas,Document,2017-10-18 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59e7c5ae96077.pdf,Resolution Adopted by the Special Investigation Committee Initiating Formal Investigation for the Purpose of Issuing Investigative Subpoenas.pdf
"Letter to Senators Menéndez, Durbin, Booker, Gillibrand, Sanders, Murphy, Merkley, Markey, Harris, Cortez Masto, and Duckworth",Document,2017-10-13 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59e1470eccb85.pdf,"Letter to Senators Menéndez, Durbin, Booker, Gillibrand, Sanders, Murphy, Merkley, Markey, Harris, Cortez Masto, and Duckworth.pdf"
"Munger, Tolles & Olson, LLP Contract",Document,2017-10-12 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59dff8b5a4a9d.pdf,"Munger, Tolles & Olson, LLP Contract.pdf"
"Williams & Jensen, PLLC Contract",Document,2017-10-12 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59dff8ab4b403.pdf,"Williams & Jensen, PLLC Contract.pdf"
"Off Hill Strategies, LLC Contract",Document,2017-10-12 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59dff89a464b9.pdf,"Off Hill Strategies, LLC Contract.pdf"
"Kobre & Kim, LLP Contract",Document,2017-10-12 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59dff8956bf6f.pdf,"Kobre & Kim, LLP Contract.pdf"
General Release Regarding Letter Sent to Treasury Secretary Steven Mnuchin,General Release,2017-10-11 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59de4be2f1e86.pdf,General Release Regarding Letter Sent to Treasury Secretary Steven Mnuchin.pdf
Letter to Treasury Secretary Steven Mnuchin Regarding Liquidity of the Government of Puerto Rico,Document,2017-10-11 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59de4b3ab2c0b.pdf,Letter to Treasury Secretary Steven Mnuchin Regarding Liquidity of the Government of Puerto Rico.pdf
Letter to President Donald J. Trump After His Visit to Puerto Rico,Document,2017-10-06 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59d806f477f30.pdf,Letter to President Donald J. Trump After His Visit to Puerto Rico.pdf
General Release Regarding President Trump's Visit,General Release,2017-10-03 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59d40e33c5191.pdf,General Release Regarding President Trump's Visit.pdf
Letter to the United States Congressional Leadership in the Aftermath of Hurricane María,Document,2017-10-03 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59d3f86e8b235.pdf,Letter to the United States Congressional Leadership in the Aftermath of Hurricane María.pdf
Puerto Rico Relief - List of Organizations for Donations and Support,Document,2017-10-03 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59d3f8669eee3.pdf,Puerto Rico Relief - List of Organizations for Donations and Support.pdf
General Release Regarding Measures Taken by the Board in the Aftermath of Hurricane María,General Release,2017-09-30 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59d0144cf0009.pdf,General Release Regarding Measures Taken by the Board in the Aftermath of Hurricane María.pdf
Letter to Governor Rosselló Authorizing the Use of $1 Billion for Emergency Relief,Document,2017-09-27 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59cc12233768c.pdf,Letter to Governor Rosselló Authorizing the Use of $1 Billion for Emergency Relief.pdf
Minutes of the Board Executive Session Authorizing the Use of $1 Billion for Emergency Relief,Document,2017-09-27 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59cc1222b2552.pdf,Minutes of the Board Executive Session Authorizing the Use of $1 Billion for Emergency Relief.pdf
General Release Regarding the Assistance Offered by the PREPA Bondholders After Hurricane María,General Release,2017-09-27 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59cc0ba9cdf98.pdf,General Release Regarding the Assistance Offered by the PREPA Bondholders After Hurricane María.pdf
General Release with Statement from the Board in the Aftermath of Hurricane María,General Release,2017-09-27 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59cbba00bf1e8.pdf,General Release with Statement from the Board in the Aftermath of Hurricane María.pdf
General Release Regarding the Passage of Hurricane María,General Release,2017-09-19 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59c13a3cb0c8b.pdf,General Release Regarding the Passage of Hurricane María.pdf
McKinsey & Company Contract - Title III Support for PREPA,Document,2017-09-18 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59bfdc43f09ef.pdf,McKinsey & Company Contract - Title III Support for PREPA.pdf
General Release Regarding the Selection of Kobre & Kim as Independent Debt Investigator,General Release,2017-09-13 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59b93efd0e24b.pdf,General Release Regarding the Selection of Kobre & Kim as Independent Debt Investigator.pdf
General Release Regarding the Potential Impact of Hurricane Irma,General Release,2017-09-06 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59aff0c3557b0.pdf,General Release Regarding the Potential Impact of Hurricane Irma.pdf
General Release Regarding Letter Sent to Espacios Abiertos,General Release,2017-09-04 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59ada51eba5ce.pdf,General Release Regarding Letter Sent to Espacios Abiertos.pdf
Letter from the Board's Ethics Advisor to Espacios Abiertos,Document,2017-09-04 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59ada1b35fffc.pdf,Letter from the Board's Ethics Advisor to Espacios Abiertos.pdf
General Release Regarding Compliance of Act 47 with the Fiscal Plan,General Release,2017-08-30 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59a73e23e1964.pdf,General Release Regarding Compliance of Act 47 with the Fiscal Plan.pdf
Letter to Governor Rosselló and the Presidents of the Senate and the House of Representatives Regarding Compliance of Act 47,Document,2017-08-30 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59a73b9013abd.pdf,Letter to Governor Rosselló and the Presidents of the Senate and the House of Representatives Regarding Compliance of Act 47.pdf
General Release Regarding Section 205 Recommendation on Public Corporations Board Independence,General Release,2017-08-28 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59a4584230643.pdf,General Release Regarding Section 205 Recommendation on Public Corporations Board Independence.pdf
General Release Regarding the Filing of Adversary Complaint for Declaratory and Injunctive Relief,General Release,2017-08-28 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59a4532f4cf64.pdf,General Release Regarding the Filing of Adversary Complaint for Declaratory and Injunctive Relief.pdf
Letter Sent to Governor Rosselló and the Presidents of the Senate and the House of Representatives Regarding the Recommendation for Independence of Public Corporations Boards,Document,2017-08-28 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59a4245d79bbe.pdf,Letter Sent to Governor Rosselló and the Presidents of the Senate and the House of Representatives Regarding the Recommendation for Independence of Public Corporations Boards.pdf
"PRASA Certified Fiscal Plan, As Amended",Document,2017-08-28 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59a423dcdaf5a.pdf,"PRASA Certified Fiscal Plan, As Amended.pdf"
Letter Sent to the Governor and the Presidents of the Senate and the House of Representatives Regarding the Certification of the PRASA Fiscal Plan,Document,2017-08-26 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59a1f25724152.pdf,Letter Sent to the Governor and the Presidents of the Senate and the House of Representatives Regarding the Certification of the PRASA Fiscal Plan.pdf
Unanimous Written Consent - Certification of PRASA Fiscal Plan,Document,2017-08-26 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59a1f2576d80a.pdf,Unanimous Written Consent - Certification of PRASA Fiscal Plan.pdf
Crtitical Projects Platform Rollout Presentation,Document,2017-08-23 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/599e31f1315aa.pdf,Crtitical Projects Platform Rollout Presentation.pdf
General Release Regarding the Presentation of the Critical Infrastructure Projects Platform,General Release,2017-08-23 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/599dd6eed6f26.pdf,General Release Regarding the Presentation of the Critical Infrastructure Projects Platform.pdf
Important Information Regarding Rights and Obligations as Potential Creditor of a Title III Debtor,Document,2017-08-23 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/599db427e5df7.pdf,Important Information Regarding Rights and Obligations as Potential Creditor of a Title III Debtor.pdf
General Release Regarding the Request for Proposals for an Independent Investigation Team,General Release,2017-08-16 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/59948024bacaf.pdf,General Release Regarding the Request for Proposals for an Independent Investigation Team.pdf
Request for Proposals for the Selection of an Independent Investigation Team,Document,2017-08-16 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/50/59947faa9f94b.pdf,Request for Proposals for the Selection of an Independent Investigation Team.pdf
General Release Concerning Q2 2017 Transaction Reports,General Release,2017-08-11 00:00:00,https://juntasupervision.pr.gov/wp-content/uploads/wpfd/49/598dddc3db1f1.pdf,General Release Concerning Q2 2017 Transaction Reports.pdf
